2014-01-07 21:03:13 status unpacked gcc-4.6-base:armhf 4.6.3-14+rpi1
2014-01-07 21:03:13 install gcc-4.7-base:armhf <none> 4.7.2-5+rpi1
2014-01-07 21:03:13 status half-installed gcc-4.7-base:armhf 4.7.2-5+rpi1
2014-01-07 21:03:13 status unpacked gcc-4.7-base:armhf 4.7.2-5+rpi1
2014-01-07 21:03:13 status unpacked gcc-4.7-base:armhf 4.7.2-5+rpi1
2014-01-07 21:03:14 install grep:armhf <none> 2.12-2
2014-01-07 21:03:14 status half-installed grep:armhf 2.12-2
2014-01-07 21:03:14 status unpacked grep:armhf 2.12-2
2014-01-07 21:03:14 status unpacked grep:armhf 2.12-2
2014-01-07 21:03:14 install gzip:armhf <none> 1.5-1.1
2014-01-07 21:03:14 status half-installed gzip:armhf 1.5-1.1
2014-01-07 21:03:15 status unpacked gzip:armhf 1.5-1.1
2014-01-07 21:03:15 status unpacked gzip:armhf 1.5-1.1
2014-01-07 21:03:15 install hostname:armhf <none> 3.11
2014-01-07 21:03:15 status half-installed hostname:armhf 3.11
2014-01-07 21:03:15 status unpacked hostname:armhf 3.11
2014-01-07 21:03:15 status unpacked hostname:armhf 3.11
2014-01-07 21:03:15 install initramfs-tools:all <none> 0.115~bpo70+1
2014-01-07 21:03:15 status half-installed initramfs-tools:all 0.115~bpo70+1
2014-01-07 21:03:15 status unpacked initramfs-tools:all 0.115~bpo70+1
2014-01-07 21:03:15 status unpacked initramfs-tools:all 0.115~bpo70+1
2014-01-07 21:03:16 install initscripts:armhf <none> 2.88dsf-41+deb7u1
2014-01-07 21:03:16 status half-installed initscripts:armhf 2.88dsf-41+deb7u1
2014-01-07 21:03:16 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2014-01-07 21:03:16 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2014-01-07 21:03:16 install insserv:armhf <none> 1.14.0-5
2014-01-07 21:03:16 status half-installed insserv:armhf 1.14.0-5
2014-01-07 21:03:17 status unpacked insserv:armhf 1.14.0-5
2014-01-07 21:03:17 status unpacked insserv:armhf 1.14.0-5
